Jahr,Produktion_Mio_Tonnen
1950,189.0
1951,222.0
1952,230.0
1953,249.0
1954,266.0
1955,287.0
1956,306.0
1957,330.0
1958,346.0
1959,353.0
1960,367.0
1961,375.0
1962,397.0
1963,408.0
1964,419.0
1965,440.0
1966,460.0
1967,474.0
1968,487.0
1969,497.0
1970,521.0
1971,536.0
1972,548.0
1973,562.0
1974,579.0
1975,597.0
1976,615.0
1977,630.0
1978,652.0
1979,661.0
1980,648.0
1981,648.0
1982,651.0
1983,651.0
1984,658.0
1985,672.0
1986,682.0
1987,696.0
1988,710.0
1989,716.0
1990,723.0
1991,727.0
1992,720.0
1993,723.0
1994,725.0
1995,751.0
1996,774.0
1997,789.0
1998,804.0
1999,851.0
2000,847.0
2001,848.0
2002,904.0
2003,969.0
2004,1058.0
2005,1220.0
2006,1340.0
2007,1527.0
2008,1607.0
2009,1608.0
2010,1650.0
2011,1674.0
2012,1670.0
2013,1689.0
2014,1738.0
2015,1831.0
2016,1875.0
2017,1878.0
2018,1875.0
2019,1880.0
2020,1830.0
2021,1850.0
2022,1865.0
2023,1888.0
